Node,Quantity (MW),Price ($/MWh)
1,63.79105976896032,2.2885422320617548
2,56.95630336514314,8.729848074459703
13,155.68056253139125,20.316259451960764
14,113.91260673028629,15.00003102616771
15,186.0572576594676,6.105753542672012
16,58.47513812154696,1.4050475231797677
18,195.9296835760924,5.755893471439374
19,107.0778503264691,30.61517559784248
20,75.94173782019085,10.013625853746916
3,105.5590155700653,31.05100557413666
4,44.0462079357107,32.11386046112244
5,41.767955801104975,20.137211325009552
6,80.49824208940231,22.11681729622036
7,73.66348568558513,33.022392568937825
8,100.24309392265194,23.875919582529345
9,102.52134605725766,32.426800978521975
10,113.91260673028629,23.80011652306921
