Node,Quantity (MW),Price ($/MWh)
1,67.48173,21.31324156269376
2,60.37839,19.845596657899907
13,165.15265500000004,19.57000078228485
14,120.75678,20.979898241682974
15,197.117685,20.23392889627348
16,62.154225,19.54593068013321
18,207.772695,19.892627343924875
19,113.65344,19.77405650876719
20,79.912575,21.02273176663473
3,111.877605,20.468189336849008
4,46.17171,21.82635509272465
5,44.395875,21.42462074949021
6,85.24008,18.36338183565067
7,78.13674,20.43736043420339
8,106.5501,19.252129241509905
9,108.325935,19.30392942152429
10,120.75678,19.856832207383658
