Node,Quantity (MW),Price ($/MWh)
1,251.67741615290063,7.012226667264834
10,5.267343007465963,21.1578454912049
11,51.66039017449678,11.815209166129929
12,268.2316355172101,4.065521910635389
13,13.267239809745012,28.37206319944321
14,14.232109166421449,31.45906780565523
15,33.07051832128794,8.506642417115712
16,118.3968246430018,11.20551810783153
17,48.47441380031909,22.330148824118588
18,101.15523696083304,22.12509640921335
19,37.12236932698768,15.586088506883677
2,163.1315471433555,17.266791864922478
20,73.61183609826308,31.94093143042893
3,214.75621274285112,13.036443539998269
4,250.0513336641012,4.540477306428678
5,111.26390786009908,25.81042754690155
6,202.9406981128339,6.5637069727691895
7,243.2023447339263,4.966747527244015
8,50.59917332323525,8.15827893944493
9,70.28998614820944,0.6912639989519331
