Node,Quantity (MW),Price ($/MWh)
1,96.69024,18.495934284876427
2,86.51232,21.514168396660043
13,236.63664000000003,20.07181016160376
14,173.02464,21.06824730130873
15,282.43728,17.965839407597116
16,89.05680000000001,18.13561351530655
18,297.70416,18.854164480065897
19,162.84672,20.362133001658076
20,114.5016,19.798395558618846
3,160.30224,19.91298551268857
4,66.15648,20.730434910995864
5,63.612,20.278498232482765
6,122.13504,18.23879069351549
7,111.95712000000002,19.50921115288483
8,152.6688,19.471133210446244
9,155.21328,19.7563486010753
10,173.02464,20.255622847022117
