Node,Quantity (MW),Price ($/MWh)
1,73.52486999999999,21.31324156269376
2,65.78541,19.845596657899907
13,179.94244500000002,19.57000078228485
14,131.57082,20.979898241682974
15,214.770015,20.23392889627348
16,67.720275,19.54593068013321
18,226.379205,19.892627343924875
19,123.83136,19.77405650876719
20,87.068925,21.02273176663473
3,121.896495,20.468189336849008
4,50.30649,21.82635509272465
5,48.371625,21.42462074949021
6,92.87352,18.36338183565067
7,85.13406,20.43736043420339
8,116.0919,19.252129241509905
9,118.026765,19.30392942152429
10,131.57082,19.856832207383658
