Hour,Node,Quantity (MW),Price ($/MWh)
1,1,67.48173,18.638058021414615
2,1,63.45297,18.638058021414615
3,1,60.4314,18.638058021414615
4,1,59.42421,18.638058021414615
5,1,59.42421,18.638058021414615
6,1,60.4314,18.638058021414615
7,1,74.53205999999999,18.638058021414615
8,1,86.61833999999999,18.638058021414615
9,1,95.68305,18.638058021414615
10,1,96.69024,18.638058021414615
11,1,96.69024,18.638058021414615
12,1,95.68305,18.638058021414615
13,1,95.68305,18.638058021414615
14,1,95.68305,18.638058021414615
15,1,93.66867,18.638058021414615
16,1,93.66867,18.638058021414615
17,1,99.71181,18.638058021414615
18,1,100.719,18.638058021414615
19,1,100.719,18.638058021414615
20,1,96.69024,18.638058021414615
21,1,91.65428999999999,18.638058021414615
22,1,83.59676999999999,18.638058021414615
23,1,73.52486999999999,18.638058021414615
24,1,63.45297,18.638058021414615
