Hour,Node,Quantity (MW),Price ($/MWh)
1,6,85.24008,9.788478840285343
2,6,80.15112,9.788478840285343
3,6,76.3344,9.788478840285343
4,6,75.06216,9.788478840285343
5,6,75.06216,9.788478840285343
6,6,76.3344,9.788478840285343
7,6,94.14576,9.788478840285343
8,6,109.41264,9.788478840285343
9,6,120.8628,9.788478840285343
10,6,122.13504,9.788478840285343
11,6,122.13504,9.788478840285343
12,6,120.8628,9.788478840285343
13,6,120.8628,9.788478840285343
14,6,120.8628,9.788478840285343
15,6,118.31832000000001,9.788478840285343
16,6,118.31832000000001,9.788478840285343
17,6,125.95176,9.788478840285343
18,6,127.224,9.788478840285343
19,6,127.224,9.788478840285343
20,6,122.13504,9.788478840285343
21,6,115.77383999999999,9.788478840285343
22,6,105.59592,9.788478840285343
23,6,92.87352,9.788478840285343
24,6,80.15112,9.788478840285343
