Hour,Node,Quantity (MW),Price ($/MWh)
1,13,165.15265500000004,13.408335680187887
2,13,155.29279500000004,13.408335680187887
3,13,147.89790000000002,13.408335680187887
4,13,145.43293500000001,13.408335680187887
5,13,145.43293500000001,13.408335680187887
6,13,147.89790000000002,13.408335680187887
7,13,182.40741000000003,13.408335680187887
8,13,211.98699000000002,13.408335680187887
9,13,234.17167500000002,13.408335680187887
10,13,236.63664000000003,13.408335680187887
11,13,236.63664000000003,13.408335680187887
12,13,234.17167500000002,13.408335680187887
13,13,234.17167500000002,13.408335680187887
14,13,234.17167500000002,13.408335680187887
15,13,229.24174500000004,13.408335680187887
16,13,229.24174500000004,13.408335680187887
17,13,244.03153500000002,13.408335680187887
18,13,246.49650000000003,13.408335680187887
19,13,246.49650000000003,13.408335680187887
20,13,236.63664000000003,13.408335680187887
21,13,224.31181500000002,13.408335680187887
22,13,204.59209500000003,13.408335680187887
23,13,179.94244500000002,13.408335680187887
24,13,155.29279500000004,13.408335680187887
