Hour,Node,Quantity (MW),Price ($/MWh)
1,7,78.13674,16.010414635943516
2,7,73.47186,16.010414635943516
3,7,69.9732,16.010414635943516
4,7,68.80698000000001,16.010414635943516
5,7,68.80698000000001,16.010414635943516
6,7,69.9732,16.010414635943516
7,7,86.30028,16.010414635943516
8,7,100.29492,16.010414635943516
9,7,110.79090000000001,16.010414635943516
10,7,111.95712000000002,16.010414635943516
11,7,111.95712000000002,16.010414635943516
12,7,110.79090000000001,16.010414635943516
13,7,110.79090000000001,16.010414635943516
14,7,110.79090000000001,16.010414635943516
15,7,108.45846000000002,16.010414635943516
16,7,108.45846000000002,16.010414635943516
17,7,115.45578,16.010414635943516
18,7,116.62200000000001,16.010414635943516
19,7,116.62200000000001,16.010414635943516
20,7,111.95712000000002,16.010414635943516
21,7,106.12602000000001,16.010414635943516
22,7,96.79626,16.010414635943516
23,7,85.13406,16.010414635943516
24,7,73.47186,16.010414635943516
