Node,Quantity (MW),Price ($/MWh)
1,59.74083375188347,23.460432357213687
2,53.34003013561024,2.40915965678286
13,145.796082370668,31.43312921940153
14,106.68006027122048,31.154729626542107
15,174.24409844299348,24.55650046035542
16,54.76243093922652,30.996353837937704
18,183.48970366649925,1.1872693671487995
19,100.27925665494726,18.06147009894309
20,71.12004018081366,3.6012407190244597
3,98.856855851331,14.510116514249829
4,41.249623304871925,4.493053346511962
5,39.11602209944751,2.055308054026958
6,75.38724259166248,28.640453894121563
7,68.98643897538925,9.97327916184063
8,93.87845303867402,11.085442174976045
9,96.01205424409844,13.365794408778346
10,106.68006027122048,13.208862297771692
