Node,Quantity (MW),Price ($/MWh)
1,83.59676999999999,18.63805802141461
2,74.79711,14.235123307033062
13,204.59209500000003,13.408335680187887
14,149.59422,17.638028058382275
15,244.190565,15.400120022153756
16,76.99702500000001,13.33612537373297
18,257.390055,14.37621536510796
19,140.79456,14.0205028596349
20,98.996175,17.766528633237535
3,138.594645,16.102901343880355
4,57.197790000000005,20.17739861150729
5,54.997875,18.972195581803952
6,105.59592,9.788478840285345
7,96.79626,16.010414635943516
8,131.9949,12.454721057863043
9,134.194815,12.610121597906208
10,149.59422,14.268829955484309
