Node,Quantity (MW),Price ($/MWh)
1,59.42421,18.63805802141461
2,53.16903000000001,14.235123307033062
13,145.432935,13.408335680187887
14,106.33806,17.638028058382275
15,173.58124500000002,15.400120022153756
16,54.732825000000005,13.33612537373297
18,182.964015,14.37621536510796
19,100.08288,14.0205028596349
20,70.370775,17.766528633237535
3,98.519085,16.102901343880355
4,40.65867000000001,20.17739861150729
5,39.094875,18.972195581803952
6,75.06216,9.788478840285345
7,68.80698000000001,16.010414635943516
8,93.8277,12.454721057863043
9,95.391495,12.610121597906208
10,106.33806,14.268829955484309
