Hour,Node,Quantity (MW),Price ($/MWh)
1,9,109.03063787041688,2.6067728774928383
2,9,102.52134605725766,32.426800978521975
3,9,97.63937719738824,14.22337937108751
4,9,96.01205424409844,13.365794408778346
5,9,96.01205424409844,16.53402168196925
6,9,97.63937719738824,27.022349584482814
7,9,120.4218985434455,9.170327406208731
8,9,139.94977398292315,31.034953236943956
9,9,154.59568056253138,10.048445256608124
10,9,156.2230035158212,17.989856600171926
11,9,156.2230035158212,33.08389755033364
12,9,154.59568056253138,21.87904689920001
13,9,154.59568056253138,32.52346083324862
14,9,154.59568056253138,1.7597181102720065
15,9,151.3410346559518,3.2025540939252655
16,9,151.3410346559518,13.79427410106083
17,9,161.10497237569058,27.151453610567426
18,9,162.7322953289804,0.1756380905426963
19,9,162.7322953289804,13.281156226456055
20,9,156.2230035158212,12.313077700524651
21,9,148.08638874937216,30.282626157987007
22,9,135.06780512305374,22.815750294878736
23,9,118.79457559015569,21.99741181967963
24,9,102.52134605725766,17.807158112155367
