Hour,Node,Quantity (MW),Price ($/MWh)
1,4,46.84279256654947,34.39610399762093
2,4,44.0462079357107,32.11386046112244
3,4,41.948769462581616,12.725435208676629
4,4,41.249623304871925,4.493053346511962
5,4,41.249623304871925,28.364668916684476
6,4,41.948769462581616,9.39108446863183
7,4,51.73681567051732,20.610777342153437
8,4,60.12656956303365,15.635759119329808
9,4,66.41888498242089,16.3941370250536
10,4,67.11803114013058,7.55801150849279
11,4,67.11803114013058,8.394187310165133
12,4,66.41888498242089,5.907596216312345
13,4,66.41888498242089,17.683475594782042
14,4,66.41888498242089,25.482044964304862
15,4,65.02059266700151,9.316853941998763
16,4,65.02059266700151,6.996796182213798
17,4,69.21546961325966,9.222617584080927
18,4,69.91461577096935,29.178803128877558
19,4,69.91461577096935,14.070208238606543
20,4,67.11803114013058,22.760517906659864
21,4,63.62230035158211,2.8274521781692883
22,4,58.029131089904574,15.968911429591108
23,4,51.03766951280763,4.702416547277664
24,4,44.0462079357107,3.3859069859941524
