Hour,Node,Quantity (MW),Price ($/MWh)
1,13,165.5650426921145,30.28872521649312
2,13,155.68056253139125,20.316259451960764
3,13,148.26720241084882,13.067882636137938
4,13,145.796082370668,31.43312921940153
5,13,145.796082370668,34.362330553551146
6,13,148.26720241084882,28.252576598839774
7,13,182.86288297338018,3.220536882911429
8,13,212.51632345554995,0.38294578102116894
9,13,234.75640381717727,8.086794291585147
10,13,237.2275238573581,13.310514599413445
11,13,237.2275238573581,27.023419906521244
12,13,234.75640381717727,25.427510146511683
13,13,234.75640381717727,1.1814264336927238
14,13,234.75640381717727,13.856647695985208
15,13,229.8141637368157,17.86309730471857
16,13,229.8141637368157,1.6719329912124203
17,13,244.64088397790053,21.712930165358177
18,13,247.11200401808134,17.74642666753463
19,13,247.11200401808134,33.51714501897456
20,13,237.2275238573581,6.878468523091336
21,13,224.87192365645402,1.9716527193326212
22,13,205.10296333500753,18.675453469245213
23,13,180.39176293319937,22.243754261893503
24,13,155.68056253139125,1.5454914675964622
