Hour,Node,Quantity (MW),Price ($/MWh)
1,5,44.41988950276243,3.7155831621182656
2,5,41.767955801104975,20.137211325009552
3,5,39.77900552486188,34.315616510272065
4,5,39.11602209944751,2.055308054026958
5,5,39.11602209944751,17.235856858951326
6,5,39.77900552486188,33.075961777151825
7,5,49.060773480662974,27.86376822162565
8,5,57.016574585635354,10.419457058008636
9,5,62.98342541436464,17.69947827902989
10,5,63.646408839779006,25.305286737781774
11,5,63.646408839779006,15.977698703450653
12,5,62.98342541436464,30.994957606598703
13,5,62.98342541436464,6.6021727457482235
14,5,62.98342541436464,8.42863152770047
15,5,61.65745856353592,22.383891524505675
16,5,61.65745856353592,5.11277592805126
17,5,65.63535911602209,19.236449273391372
18,5,66.29834254143645,6.882748763089966
19,5,66.29834254143645,24.806786975968674
20,5,63.646408839779006,20.19284896062781
21,5,60.33149171270717,7.418228038128293
22,5,55.027624309392266,18.999695722222125
23,5,48.39779005524861,7.367561580723003
24,5,41.767955801104975,3.512617684951408
