Node,Quantity (MW),Price ($/MWh)
1,73.91662481165243,20.180694760424693
2,65.99698643897538,33.447170170988215
13,180.39176293319937,22.243754261893503
14,131.99397287795077,0.4627907639396367
15,215.59015570065293,16.771094268548808
16,67.75690607734806,34.394148684135985
18,227.02963335007533,15.94396922197421
19,124.07433450527373,23.161491621222645
20,87.99598191863384,31.35875669929044
3,122.31441486690105,2.519623012299617
4,51.03766951280763,4.702416547277664
5,48.39779005524861,7.367561580723003
6,93.27574083375188,20.85474520591593
7,85.35610246107483,11.426177083935247
8,116.15469613259668,26.6543630935798
9,118.79457559015567,21.99741181967963
10,131.99397287795077,34.48978131145482
