Hour,Node,Quantity (MW),Price ($/MWh)
1,1,67.84128578603716,22.741032309326496
2,1,63.791059768960324,2.2885422320617548
3,1,60.753390256152684,26.853116523219022
4,1,59.74083375188347,23.460432357213687
5,1,59.74083375188347,2.5293035996406363
6,1,60.753390256152684,24.547938955609084
7,1,74.92918131592164,17.873539539427206
8,1,87.07985936715218,34.44693293857045
9,1,96.19286790557508,27.267244388653992
10,1,97.2054244098443,14.537599614866055
11,1,97.2054244098443,22.566445324242963
12,1,96.19286790557508,24.47548902489263
13,1,96.19286790557508,11.694154389897381
14,1,96.19286790557508,11.819849977696647
15,1,94.16775489703667,9.456642429010389
16,1,94.16775489703667,27.28481964551178
17,1,100.24309392265192,21.170989939347642
18,1,101.25565042692114,5.369374891388275
19,1,101.25565042692114,31.553188256671472
20,1,97.2054244098443,6.8847232147651525
21,1,92.14264188849823,8.567767403709096
22,1,84.04218985434456,1.1196868983566048
23,1,73.91662481165243,20.180694760424693
24,1,63.791059768960324,10.912493054822875
