Hour,Node,Quantity (MW),Price ($/MWh)
1,20,79.912575,19.45656912875089
2,20,75.141675,17.63226068846053
3,20,71.56349999999999,18.354522714828022
4,20,70.370775,17.831204376825063
5,20,70.370775,21.188506458805048
6,20,71.56349999999999,19.59172035182321
7,20,88.26164999999999,20.025443327259275
8,20,102.57435,19.175386288002688
9,20,113.30887499999999,19.034683147951917
10,20,114.5016,17.675562677217
11,20,114.5016,19.10096294050954
12,20,113.30887499999999,18.595582044839773
13,20,113.30887499999999,20.338185105274025
14,20,113.30887499999999,20.642904033294794
15,20,110.92342500000001,20.993139491851544
16,20,110.92342500000001,20.332404480394114
17,20,118.07977499999998,18.770807220043633
18,20,119.2725,18.21421815059702
19,20,119.2725,20.239982274087467
20,20,114.5016,19.798395558618846
21,20,108.53797499999999,17.511931080321407
22,20,98.996175,19.797522840271476
23,20,87.068925,20.291479308688697
24,20,75.141675,19.478407983751996
