Hour,Node,Quantity (MW),Price ($/MWh)
1,9,108.325935,19.30392942152429
2,9,101.858715,19.30392942152429
3,9,97.00829999999999,19.30392942152429
4,9,95.391495,19.30392942152429
5,9,95.391495,19.30392942152429
6,9,97.00829999999999,19.30392942152429
7,9,119.64357,19.30392942152429
8,9,139.04522999999998,19.30392942152429
9,9,153.596475,19.30392942152429
10,9,155.21328,19.30392942152429
11,9,155.21328,19.30392942152429
12,9,153.596475,19.30392942152429
13,9,153.596475,19.30392942152429
14,9,153.596475,19.30392942152429
15,9,150.362865,19.30392942152429
16,9,150.362865,19.30392942152429
17,9,160.063695,19.30392942152429
18,9,161.6805,19.30392942152429
19,9,161.6805,19.30392942152429
20,9,155.21328,19.30392942152429
21,9,147.129255,19.30392942152429
22,9,134.194815,19.30392942152429
23,9,118.026765,19.30392942152429
24,9,101.858715,19.30392942152429
