Hour,Node,Quantity (MW),Price ($/MWh)
1,10,120.75678,14.268829955484307
2,10,113.54742000000002,14.268829955484307
3,10,108.1404,14.268829955484307
4,10,106.33806000000001,14.268829955484307
5,10,106.33806000000001,14.268829955484307
6,10,108.1404,14.268829955484307
7,10,133.37316,14.268829955484307
8,10,155.00124,14.268829955484307
9,10,171.22230000000002,14.268829955484307
10,10,173.02464,14.268829955484307
11,10,173.02464,14.268829955484307
12,10,171.22230000000002,14.268829955484307
13,10,171.22230000000002,14.268829955484307
14,10,171.22230000000002,14.268829955484307
15,10,167.61762000000002,14.268829955484307
16,10,167.61762000000002,14.268829955484307
17,10,178.43166,14.268829955484307
18,10,180.234,14.268829955484307
19,10,180.234,14.268829955484307
20,10,173.02464,14.268829955484307
21,10,164.01294000000001,14.268829955484307
22,10,149.59422,14.268829955484307
23,10,131.57082,14.268829955484307
24,10,113.54742000000002,14.268829955484307
