Node,Quantity (MW),Price ($/MWh)
1,86.61833999999999,18.63805802141461
2,77.50062,14.235123307033062
13,211.98699,13.408335680187887
14,155.00124,17.638028058382275
15,253.01673,15.400120022153756
16,79.78005,13.33612537373297
18,266.69330999999994,14.37621536510796
19,145.88352,14.0205028596349
20,102.57435,17.766528633237535
3,143.60409,16.102901343880355
4,59.26518,20.17739861150729
5,56.98575,18.972195581803952
6,109.41264,9.788478840285345
7,100.29492,16.010414635943516
8,136.76579999999998,12.454721057863043
9,139.04522999999998,12.610121597906208
10,155.00124,14.268829955484309
