Node,Quantity (MW),Price ($/MWh)
1,67.48173,18.63805802141461
2,60.37839,14.235123307033062
13,165.15265500000004,13.408335680187887
14,120.75678,17.638028058382275
15,197.117685,15.400120022153756
16,62.154225,13.33612537373297
18,207.772695,14.37621536510796
19,113.65344,14.0205028596349
20,79.912575,17.766528633237535
3,111.877605,16.102901343880355
4,46.17171,20.17739861150729
5,44.395875,18.972195581803952
6,85.24008,9.788478840285345
7,78.13674,16.010414635943516
8,106.5501,12.454721057863043
9,108.325935,12.610121597906208
10,120.75678,14.268829955484309
