Node,Quantity (MW),Price ($/MWh)
1,100.719,18.63805802141461
2,90.117,14.235123307033062
13,246.49650000000003,13.408335680187887
14,180.234,17.638028058382275
15,294.20550000000003,15.400120022153756
16,92.7675,13.33612537373297
18,310.1085,14.37621536510796
19,169.632,14.0205028596349
20,119.2725,17.766528633237535
3,166.9815,16.102901343880355
4,68.91300000000001,20.17739861150729
5,66.2625,18.972195581803952
6,127.224,9.788478840285345
7,116.622,16.010414635943516
8,159.03,12.454721057863043
9,161.6805,12.610121597906208
10,180.234,14.268829955484309
